Initiative Code,Initiative Name,website id
FR-178,L'Ecole Comestible,484152
FR-180,Sécurité sociale alimentaire,484252
FR-181,Aux arbres citoyens,484352
FR-188,Ferme de l'abbé Rozier,484452
FR-192,Groupe Biodiversité Alstom,484552
FR-193,Le Fourgon,484652
FR-194,Les retoqués,484752
FR-210,Au Coin Bio,484852
FR-214,AMAP,484952
FR-215,The Montpellier Process,485052
FR-217,Veni Verdi,499352
FR-253,Les Petites Cantines – Cantines de quartier à prix libre,457652
FR-285,Frédéric IMBERT,502452
FR-293,Liselore Martin,502552
FR-300,Freddy Thiburce,502652
FR-305,Etienne Kayser,502752
FR-316,Aurélien Thivent,502852
FR-317,José Fatien,502952
FR-318,Gabriel Martinez,503052
GB-002,Oatbrook Farm,470552
GB-003,Zero Dig,449352
GB-005,Loop:Frome,453552
GB-016,The Long Table,449452
GB-021,Henbant Fferm Paramaethu,453652
GB-024,Landworks,449552
GB-025,Street Goat,449652
GB-040,Tyddynteg,453752
GB-044,No Mise en Plastic,470652
GB-053,The Bevy Pub,470752
GB-054,Jollof Cafe,470852
GB-055,Harriets of Hove,470952
GB-057,Pasture for Life,471052
GB-058,Olio (app),
GB-066,Global Salmon Inititiative,471152
GB-076,Infinity Foods Wholesale,471252
GE-009,Cider Club Bazaleti,470052
GE-010,Parki ar minda,470152
HK-006,Hong Kong NT Fish culture association (HKNTFCA),
HK-007,OnePlus Argo Limited,
HK-008,Yau Tam Mei Holiday Camp Limited,503152
HK-009,Team river corporation limited,503252
IN-001,Solitude Farm,479252
IN-005,No Food Waste,479352
IN-007,Earth Focus Foundation,479452
IN-008,Farmizen,479552
IN-010,Promethean Power Systems,503352
IN-011,Greenway Grameen,503452
IN-015,Swayyam,479652
IN-016,Solidaridad India (SREC),503552
IN-017,Eeki,503652
IN-021,Mitti Labs,503752
IN-022,AgriSavant,503852
IN-025,Ecozen,503952
IN-028,PLUME - Ashoka Trust for Research in Ecology and the Environment (ATREE),504052
IN-033,Nuvedo,504152
JP-002,POW BAR,478652
JP-013,Matayoshi Coffee Farm,478752
KE-006,Ustawi,462952
KE-008,Zuhura Solutions,473052
KE-012,ForestFoods,473152
KE-015,Dudu Masters,473252
KE-018,Amazing Grace Center,473352
KE-019,Charis Farm,473452
KE-020,Eco Scapes,473552
KE-022,Iviani farm,473652
KE-023,Two brothers Pixis farm,495052
KE-025,mwamweni mart,473752
KE-027,Kilifi Beauty Jewel,473852
KE-029,Kibois Breeders,473952
KE-031,samwananaturalfoods,474052
KE-037,Shambani Pro,474152
KE-038,Kuza one (Kuza Biashara),474252
KE-039,The Allure of Soil,474352
KE-046,Joka Farm Resources,474452
KE-054,Maianke,474552
KE-056,Wangechi Kuria,474652
KE-073,Biovision Africa Trust,474752
KE-077,Eco Post Limited,474852
KE-078,Organic Agriculture Centre of Kenya,474952
KE-083,Ubuntu Kreative Village,475052
KE-085,Feed Back The Future,475152
KE-086,Farm with Fred,475252
KE-088,Charlies Winery Limited,475352
KE-097,Rabbitcrew Kenya,475452
KE-103,Soil fertility clinik,475552
KE-112,Dehytech East Africa Limited,475652
KE-113,Moo fodder,475752
KE-114,Silver oak mazingira,475852
KE-119,kapi limited,475952
KE-125,Serm Smart Farm,476052
KE-130,Bella Fam,476152
KE-154,Rural Link Ai,476252
KE-161,Maxxy Artistry gallery,476352
KE-166,Hydrolic water pumping,476452
KE-168,Rafiki Eco Solutions Ltd,476552
KE-177,Baridi,476652
KE-182,Lizsa farmer service centre,476752
KE-198,Mycelia and Foods Ltd,476852
KE-203,Coast Baobab,476952
KE-211,Shambah Dairies,477052
KE-232,Zippora Ochoi,477152
KE-233,Eco Bristo,477252
KE-235,ORGANIC FIELDS LIMITED,477352
KE-239,Kefir Kenya,477452
KE-257,Dennis Andaye,477552
KE-258,Institute of Food Justice And Development,477652
